date,lat,lon,sst,source
2025-06-01,34.85,128.43,21.37,fallback_sample
2025-06-02,34.85,128.43,21.8,fallback_sample
2025-06-03,34.85,128.43,24.08,fallback_sample
2025-06-04,34.85,128.43,22.97,fallback_sample
2025-06-05,34.85,128.43,21.19,fallback_sample
2025-06-06,34.85,128.43,22.63,fallback_sample
2025-06-07,34.85,128.43,23.04,fallback_sample
2025-06-08,34.85,128.43,23.21,fallback_sample
2025-06-09,34.85,128.43,21.05,fallback_sample
2025-06-10,34.85,128.43,23.06,fallback_sample
2025-06-11,34.85,128.43,22.95,fallback_sample
2025-06-12,34.85,128.43,22.62,fallback_sample
2025-06-13,34.85,128.43,22.7,fallback_sample
2025-06-14,34.85,128.43,23.06,fallback_sample
2025-06-15,34.85,128.43,21.78,fallback_sample
2025-06-16,34.85,128.43,22.79,fallback_sample
2025-06-17,34.85,128.43,23.82,fallback_sample
2025-06-18,34.85,128.43,23.96,fallback_sample
2025-06-19,34.85,128.43,22.71,fallback_sample
2025-06-20,34.85,128.43,20.79,fallback_sample
2025-06-21,34.85,128.43,22.44,fallback_sample
2025-06-22,34.85,128.43,22.15,fallback_sample
2025-06-23,34.85,128.43,23.32,fallback_sample
2025-06-24,34.85,128.43,22.3,fallback_sample
2025-06-25,34.85,128.43,22.95,fallback_sample
2025-06-26,34.85,128.43,21.08,fallback_sample
2025-06-27,34.85,128.43,23.85,fallback_sample
2025-06-28,34.85,128.43,22.81,fallback_sample
2025-06-29,34.85,128.43,21.34,fallback_sample
2025-06-30,34.85,128.43,24.12,fallback_sample
2025-07-01,34.85,128.43,25.47,fallback_sample
2025-07-02,34.85,128.43,24.65,fallback_sample
2025-07-03,34.85,128.43,24.85,fallback_sample
2025-07-04,34.85,128.43,26.65,fallback_sample
2025-07-05,34.85,128.43,24.92,fallback_sample
2025-07-06,34.85,128.43,26.5,fallback_sample
2025-07-07,34.85,128.43,25.62,fallback_sample
2025-07-08,34.85,128.43,24.47,fallback_sample
2025-07-09,34.85,128.43,24.58,fallback_sample
2025-07-10,34.85,128.43,25.61,fallback_sample
2025-07-11,34.85,128.43,24.69,fallback_sample
2025-07-12,34.85,128.43,26.41,fallback_sample
2025-07-13,34.85,128.43,27.46,fallback_sample
2025-07-14,34.85,128.43,25.49,fallback_sample
2025-07-15,34.85,128.43,26.76,fallback_sample
2025-07-16,34.85,128.43,27.22,fallback_sample
2025-07-17,34.85,128.43,25.98,fallback_sample
2025-07-18,34.85,128.43,24.84,fallback_sample
2025-07-19,34.85,128.43,24.49,fallback_sample
2025-07-20,34.85,128.43,24.91,fallback_sample
2025-07-21,34.85,128.43,27.32,fallback_sample
2025-07-22,34.85,128.43,24.56,fallback_sample
2025-07-23,34.85,128.43,27.17,fallback_sample
2025-07-24,34.85,128.43,26.47,fallback_sample
2025-07-25,34.85,128.43,24.94,fallback_sample
2025-07-26,34.85,128.43,26.54,fallback_sample
2025-07-27,34.85,128.43,26.04,fallback_sample
2025-07-28,34.85,128.43,24.89,fallback_sample
2025-07-29,34.85,128.43,26.35,fallback_sample
2025-07-30,34.85,128.43,27.37,fallback_sample
2025-07-31,34.85,128.43,25.34,fallback_sample
2025-08-01,34.85,128.43,29.25,fallback_sample
2025-08-02,34.85,128.43,27.61,fallback_sample
2025-08-03,34.85,128.43,28.64,fallback_sample
2025-08-04,34.85,128.43,29.06,fallback_sample
2025-08-05,34.85,128.43,27.94,fallback_sample
2025-08-06,34.85,128.43,27.39,fallback_sample
2025-08-07,34.85,128.43,28.17,fallback_sample
2025-08-08,34.85,128.43,29.11,fallback_sample
2025-08-09,34.85,128.43,28.17,fallback_sample
2025-08-10,34.85,128.43,30.51,fallback_sample
2025-08-11,34.85,128.43,29.78,fallback_sample
2025-08-12,34.85,128.43,28.59,fallback_sample
2025-08-13,34.85,128.43,29.17,fallback_sample
2025-08-14,34.85,128.43,29.21,fallback_sample
2025-08-15,34.85,128.43,29.84,fallback_sample
2025-08-16,34.85,128.43,30.68,fallback_sample
2025-08-17,34.85,128.43,30.78,fallback_sample
2025-08-18,34.85,128.43,28.79,fallback_sample
2025-08-19,34.85,128.43,29.75,fallback_sample
2025-08-20,34.85,128.43,29.94,fallback_sample
2025-08-21,34.85,128.43,27.99,fallback_sample
2025-08-22,34.85,128.43,28.23,fallback_sample
2025-08-23,34.85,128.43,29.16,fallback_sample
2025-08-24,34.85,128.43,28.97,fallback_sample
2025-08-25,34.85,128.43,28.84,fallback_sample
2025-08-26,34.85,128.43,29.78,fallback_sample
2025-08-27,34.85,128.43,29.09,fallback_sample
2025-08-28,34.85,128.43,29.84,fallback_sample
2025-08-29,34.85,128.43,29.03,fallback_sample
2025-08-30,34.85,128.43,28.98,fallback_sample
2025-08-31,34.85,128.43,27.14,fallback_sample
