region,lat,lon,source,geocoded_at
통영,34.774833,127.72417,nominatim,2026-06-30T05:23:58Z
거제,35.190158,129.07493,nominatim,2026-06-30T05:24:01Z
포항,36.071233,129.342678,nominatim,2026-06-30T05:24:20Z
제주,33.488774,126.498708,nominatim,2026-06-30T05:24:22Z
고흥,34.760769,126.3982478,nominatim,2026-06-30T05:29:08Z
여수,34.7530343,127.748804,nominatim,2026-06-30T05:29:10Z
완도,34.3448887,126.6910588,nominatim,2026-06-30T05:29:12Z
남해,34.8387666,127.892405,nominatim,2026-06-30T05:29:14Z
동해,37.4975753,129.1226016,nominatim,2026-06-30T05:29:16Z
울산,35.5391697,129.3119136,nominatim,2026-06-30T05:29:18Z
서귀포,33.2568662,126.5624311,nominatim,2026-06-30T05:29:20Z
태안,36.757613,126.2888287,nominatim,2026-06-30T05:29:22Z
인천,37.456,126.7052,nominatim,2026-06-30T05:29:23Z
보령,36.3356813,126.6047592,nominatim,2026-06-30T05:29:25Z
부산,35.1799528,129.0752365,nominatim,2026-06-30T05:29:27Z
