location,count,lat,lon
제주,244,33.4996,126.5312
통영,178,34.8544,128.4333
여수,137,34.7604,127.6622
거제,108,34.8797,128.6211
기장,79,,
태안,74,36.7456,126.2983
포항,66,36.019,129.3435
고흥,59,34.6042,127.2756
완도,58,34.3114,126.7552
고성,55,34.9733,128.3231
서산,38,36.7848,126.45
사천,35,35.0036,128.0644
남해,33,34.8378,127.8925
보령,32,36.3331,126.6128
신안,26,34.8396,126.1069
울주,23,,
해남,22,34.5739,126.599
무안,18,,
서귀포,16,33.2541,126.56
옹진,14,,
울진,14,36.9929,129.4003
영덕,12,36.4153,129.365
진도,10,34.4867,126.2636
경주,10,35.8562,129.2247
군산,9,35.9678,126.7368
당진,7,,
보성,4,34.7711,127.08
장흥,4,34.6817,126.9078
목포,2,34.8118,126.3922
강진,2,34.6414,126.7672
강릉,1,37.7519,128.876
삼척,1,37.4499,129.165
영광,1,35.2772,126.5122
