date,lat,lon,sst_celsius,lss_class
2025-07-17,28.0100,126.2300,28.70,1
2025-07-17,28.0100,126.5200,28.83,1
2025-07-17,28.0100,128.7500,28.59,1
2025-07-17,28.0200,128.6900,28.32,1
2025-07-17,28.0300,125.8100,28.71,1
2025-07-17,28.0300,126.2500,28.73,1
2025-07-17,28.0300,126.3100,28.79,1
2025-07-17,28.0400,126.0700,28.70,1
2025-07-17,28.0400,126.4300,28.87,1
2025-07-17,28.0500,126.0400,28.67,1
2025-07-17,28.0500,126.3700,28.84,1
2025-07-17,28.0700,125.8500,28.73,1
2025-07-17,28.0700,126.4700,28.85,1
2025-07-17,28.1000,125.9300,28.68,1
2025-07-17,28.1000,127.2100,29.32,1
2025-07-17,28.1100,126.6100,28.92,1
2025-07-17,28.1200,125.8900,28.70,1
2025-07-17,28.1200,125.9900,28.63,1
2025-07-17,28.1200,127.6500,29.60,1
2025-07-17,28.1200,128.8000,28.40,1
2025-07-17,28.1400,125.9500,28.59,1
2025-07-17,28.1400,126.5700,28.86,1
2025-07-17,28.1400,128.5400,28.62,1
2025-07-17,28.1500,126.8300,29.30,1
2025-07-17,28.1600,125.9800,28.52,1
2025-07-17,28.1700,127.1000,29.41,1
2025-07-17,28.1700,127.6900,29.59,1
2025-07-17,28.1700,128.7500,28.77,1
2025-07-17,28.2000,128.5100,28.71,1
2025-07-17,28.2100,128.9000,28.79,1
2025-07-17,28.2200,128.4300,28.68,1
2025-07-17,28.2300,128.4200,28.68,1
2025-07-17,28.2500,122.3100,28.47,1
2025-07-17,28.3000,128.5900,28.75,1
2025-07-17,28.3400,128.9900,28.93,1
2025-07-17,28.3700,127.0100,29.22,1
2025-07-17,28.3700,127.0200,29.22,1
2025-07-17,28.3700,128.1000,29.24,1
2025-07-17,28.3900,128.3700,28.84,1
2025-07-17,28.4000,126.2100,28.25,1
2025-07-17,28.4000,127.9300,29.33,1
2025-07-17,28.4000,128.6500,28.97,1
2025-07-17,28.4000,128.7700,28.83,1
2025-07-17,28.4100,122.2900,28.40,1
2025-07-17,28.4500,126.8200,28.64,1
2025-07-17,28.4600,127.1800,29.11,1
2025-07-17,28.4700,128.4300,28.84,1
2025-07-17,28.4800,127.8500,29.18,1
2025-07-17,28.5100,126.8700,28.60,1
2025-07-17,28.5400,126.4400,28.44,1
2025-07-17,28.5500,126.1600,28.74,1
2025-07-17,28.5500,128.4500,28.85,1
2025-07-17,28.5900,126.2700,28.57,1
2025-07-17,28.6000,126.6300,28.38,1
2025-07-17,28.6400,127.9500,29.11,1
2025-07-17,28.6700,126.5100,28.43,1
