date,grid,hot_count,lowsal_count,both_count,out_nc,out_csv,out_png,error
2025-07-01,800x1000,311271,75407,19793,data/results/hotlowsal/HOTLOWSAL_20250701.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250701.csv,data/results/hotlowsal/img/HOTLOWSAL_20250701.png,
2025-07-02,800x1000,310343,69485,14342,data/results/hotlowsal/HOTLOWSAL_20250702.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250702.csv,data/results/hotlowsal/img/HOTLOWSAL_20250702.png,
2025-07-03,800x1000,316560,70559,15478,data/results/hotlowsal/HOTLOWSAL_20250703.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250703.csv,data/results/hotlowsal/img/HOTLOWSAL_20250703.png,
2025-07-04,800x1000,271149,79158,15179,data/results/hotlowsal/HOTLOWSAL_20250704.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250704.csv,data/results/hotlowsal/img/HOTLOWSAL_20250704.png,
2025-07-05,800x1000,342436,85522,38602,data/results/hotlowsal/HOTLOWSAL_20250705.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250705.csv,data/results/hotlowsal/img/HOTLOWSAL_20250705.png,
2025-07-06,800x1000,372963,85112,44745,data/results/hotlowsal/HOTLOWSAL_20250706.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250706.csv,data/results/hotlowsal/img/HOTLOWSAL_20250706.png,
2025-07-07,800x1000,384821,58651,36908,data/results/hotlowsal/HOTLOWSAL_20250707.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250707.csv,data/results/hotlowsal/img/HOTLOWSAL_20250707.png,
2025-07-08,800x1000,337599,72485,33447,data/results/hotlowsal/HOTLOWSAL_20250708.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250708.csv,data/results/hotlowsal/img/HOTLOWSAL_20250708.png,
2025-07-09,800x1000,346724,81271,39415,data/results/hotlowsal/HOTLOWSAL_20250709.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250709.csv,data/results/hotlowsal/img/HOTLOWSAL_20250709.png,
2025-07-10,800x1000,338949,43130,17446,data/results/hotlowsal/HOTLOWSAL_20250710.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250710.csv,data/results/hotlowsal/img/HOTLOWSAL_20250710.png,
2025-07-11,800x1000,317062,28965,8010,data/results/hotlowsal/HOTLOWSAL_20250711.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250711.csv,data/results/hotlowsal/img/HOTLOWSAL_20250711.png,
2025-07-12,800x1000,291057,18004,8070,data/results/hotlowsal/HOTLOWSAL_20250712.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250712.csv,data/results/hotlowsal/img/HOTLOWSAL_20250712.png,
2025-07-13,800x1000,252411,41010,11343,data/results/hotlowsal/HOTLOWSAL_20250713.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250713.csv,data/results/hotlowsal/img/HOTLOWSAL_20250713.png,
2025-07-14,800x1000,208096,49053,11570,data/results/hotlowsal/HOTLOWSAL_20250714.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250714.csv,data/results/hotlowsal/img/HOTLOWSAL_20250714.png,
2025-07-15,800x1000,256035,49382,25088,data/results/hotlowsal/HOTLOWSAL_20250715.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250715.csv,data/results/hotlowsal/img/HOTLOWSAL_20250715.png,
2025-07-16,800x1000,231910,2213,167,data/results/hotlowsal/HOTLOWSAL_20250716.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250716.csv,data/results/hotlowsal/img/HOTLOWSAL_20250716.png,
2025-07-17,800x1000,169641,15061,1705,data/results/hotlowsal/HOTLOWSAL_20250717.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250717.csv,data/results/hotlowsal/img/HOTLOWSAL_20250717.png,
2025-07-18,800x1000,230298,29298,14627,data/results/hotlowsal/HOTLOWSAL_20250718.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250718.csv,data/results/hotlowsal/img/HOTLOWSAL_20250718.png,
2025-07-19,800x1000,213025,48700,20775,data/results/hotlowsal/HOTLOWSAL_20250719.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250719.csv,data/results/hotlowsal/img/HOTLOWSAL_20250719.png,
2025-07-20,800x1000,283358,79471,45123,data/results/hotlowsal/HOTLOWSAL_20250720.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250720.csv,data/results/hotlowsal/img/HOTLOWSAL_20250720.png,
2025-07-21,800x1000,386898,74336,50502,data/results/hotlowsal/HOTLOWSAL_20250721.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250721.csv,data/results/hotlowsal/img/HOTLOWSAL_20250721.png,
2025-07-22,800x1000,452108,89167,65232,data/results/hotlowsal/HOTLOWSAL_20250722.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250722.csv,data/results/hotlowsal/img/HOTLOWSAL_20250722.png,
2025-07-23,800x1000,502500,103107,80700,data/results/hotlowsal/HOTLOWSAL_20250723.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250723.csv,data/results/hotlowsal/img/HOTLOWSAL_20250723.png,
2025-07-24,800x1000,515262,101759,82359,data/results/hotlowsal/HOTLOWSAL_20250724.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250724.csv,data/results/hotlowsal/img/HOTLOWSAL_20250724.png,
2025-07-25,800x1000,467079,81299,54643,data/results/hotlowsal/HOTLOWSAL_20250725.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250725.csv,data/results/hotlowsal/img/HOTLOWSAL_20250725.png,
2025-07-26,800x1000,481329,69909,41791,data/results/hotlowsal/HOTLOWSAL_20250726.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250726.csv,data/results/hotlowsal/img/HOTLOWSAL_20250726.png,
2025-07-27,800x1000,459211,80787,44776,data/results/hotlowsal/HOTLOWSAL_20250727.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250727.csv,data/results/hotlowsal/img/HOTLOWSAL_20250727.png,
2025-07-28,800x1000,466406,95624,57428,data/results/hotlowsal/HOTLOWSAL_20250728.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250728.csv,data/results/hotlowsal/img/HOTLOWSAL_20250728.png,
2025-07-29,800x1000,416495,65557,44016,data/results/hotlowsal/HOTLOWSAL_20250729.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250729.csv,data/results/hotlowsal/img/HOTLOWSAL_20250729.png,
2025-07-30,800x1000,410925,9386,6745,data/results/hotlowsal/HOTLOWSAL_20250730.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250730.csv,data/results/hotlowsal/img/HOTLOWSAL_20250730.png,
2025-07-31,800x1000,395912,26264,8540,data/results/hotlowsal/HOTLOWSAL_20250731.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250731.csv,data/results/hotlowsal/img/HOTLOWSAL_20250731.png,
2025-08-01,800x1000,448659,50694,26011,data/results/hotlowsal/HOTLOWSAL_20250801.nc,data/results/hotlowsal/csv/HOTLOWSAL_20250801.csv,data/results/hotlowsal/img/HOTLOWSAL_20250801.png,
